Yuuki Yuuna wa Yuusha de Aru: Washio Sumi no Shou,"Nogi, Sonoko"
,
Yuuki Yuuna wa Yuusha de Aru: Washio Sumi no Shou 1 - Tomodachi,"Nogi, Sonoko"
,
Yuuki Yuuna wa Yuusha de Aru: Washio Sumi no Shou 2 - Tamashii,"Nogi, Sonoko"
,
Yuuki Yuuna wa Yuusha de Aru: Washio Sumi no Shou 3 - Yakusoku,"Nogi, Sonoko"
,
Yuuki Yuuna wa Yuusha de Aru: Yuusha no Shou,"Nogi, Sonoko"
,
Zegapain,"Kaminagi, Ryouko"
,
Zegapain ADP,"Kaminagi, Ryouko"
,
Zetman,"Amagi, Konoha"
,
Zetsuen no Tempest,"Fuwa, Aika"
,
Zettai Bouei Leviathan,Syrup
,
Zettai Bouei Leviathan: Mini Takibi Gekijou,Syrup
,
Zoku Owarimonogatari,"Sengoku, Nadeko"
